Dia de Data Registro Vacina;Dose;Contagem de Dose
26 de abril de 2021;1° DOSE;110928
25 de abril de 2021;1° DOSE;12184
24 de abril de 2021;1° DOSE;64636
23 de abril de 2021;1° DOSE;185326
22 de abril de 2021;1° DOSE;140496
21 de abril de 2021;1° DOSE;209008
20 de abril de 2021;1° DOSE;120069
19 de abril de 2021;1° DOSE;70183
18 de abril de 2021;1° DOSE;14394
17 de abril de 2021;1° DOSE;35262
16 de abril de 2021;1° DOSE;65446
15 de abril de 2021;1° DOSE;87642
14 de abril de 2021;1° DOSE;119690
13 de abril de 2021;1° DOSE;130026
12 de abril de 2021;1° DOSE;140088
11 de abril de 2021;1° DOSE;11602
10 de abril de 2021;1° DOSE;63758
9 de abril de 2021;1° DOSE;42441
8 de abril de 2021;1° DOSE;56307
7 de abril de 2021;1° DOSE;88708
6 de abril de 2021;1° DOSE;116192
5 de abril de 2021;1° DOSE;111101
4 de abril de 2021;1° DOSE;5700
3 de abril de 2021;1° DOSE;42133
2 de abril de 2021;1° DOSE;49417
1 de abril de 2021;1° DOSE;91301
31 de março de 2021;1° DOSE;84322
30 de março de 2021;1° DOSE;113242
29 de março de 2021;1° DOSE;160348
28 de março de 2021;1° DOSE;16870
27 de março de 2021;1° DOSE;103022
26 de março de 2021;1° DOSE;214353
25 de março de 2021;1° DOSE;126065
24 de março de 2021;1° DOSE;90435
23 de março de 2021;1° DOSE;104926
22 de março de 2021;1° DOSE;139596
21 de março de 2021;1° DOSE;13931
20 de março de 2021;1° DOSE;91165
19 de março de 2021;1° DOSE;193819
18 de março de 2021;1° DOSE;78961
17 de março de 2021;1° DOSE;80012
16 de março de 2021;1° DOSE;82877
15 de março de 2021;1° DOSE;131561
14 de março de 2021;1° DOSE;9430
13 de março de 2021;1° DOSE;29733
12 de março de 2021;1° DOSE;55780
11 de março de 2021;1° DOSE;56599
10 de março de 2021;1° DOSE;60032
9 de março de 2021;1° DOSE;69504
8 de março de 2021;1° DOSE;74087
7 de março de 2021;1° DOSE;12001
6 de março de 2021;1° DOSE;49155
5 de março de 2021;1° DOSE;79531
4 de março de 2021;1° DOSE;106774
3 de março de 2021;1° DOSE;130993
2 de março de 2021;1° DOSE;99118
1 de março de 2021;1° DOSE;112862
28 de fevereiro de 2021;1° DOSE;14170
27 de fevereiro de 2021;1° DOSE;49786
