Dia de Data Registro Vacina;Dose;Contagem de Dose
3 de maio de 2021;1° DOSE;1332
2 de maio de 2021;1° DOSE;8438
1 de maio de 2021;1° DOSE;28474
30 de abril de 2021;1° DOSE;108696
29 de abril de 2021;1° DOSE;157282
28 de abril de 2021;1° DOSE;104094
27 de abril de 2021;1° DOSE;95348
26 de abril de 2021;1° DOSE;114494
25 de abril de 2021;1° DOSE;12184
24 de abril de 2021;1° DOSE;64637
23 de abril de 2021;1° DOSE;185328
22 de abril de 2021;1° DOSE;140497
21 de abril de 2021;1° DOSE;209008
20 de abril de 2021;1° DOSE;120069
19 de abril de 2021;1° DOSE;70184
18 de abril de 2021;1° DOSE;14394
17 de abril de 2021;1° DOSE;35262
16 de abril de 2021;1° DOSE;65448
15 de abril de 2021;1° DOSE;87642
14 de abril de 2021;1° DOSE;119691
13 de abril de 2021;1° DOSE;130028
12 de abril de 2021;1° DOSE;140090
11 de abril de 2021;1° DOSE;11602
10 de abril de 2021;1° DOSE;63759
9 de abril de 2021;1° DOSE;42438
8 de abril de 2021;1° DOSE;56307
7 de abril de 2021;1° DOSE;88710
6 de abril de 2021;1° DOSE;116190
5 de abril de 2021;1° DOSE;111100
4 de abril de 2021;1° DOSE;5700
3 de abril de 2021;1° DOSE;42133
2 de abril de 2021;1° DOSE;49417
1 de abril de 2021;1° DOSE;91302
31 de março de 2021;1° DOSE;84322
30 de março de 2021;1° DOSE;113239
29 de março de 2021;1° DOSE;160348
28 de março de 2021;1° DOSE;16870
27 de março de 2021;1° DOSE;103022
26 de março de 2021;1° DOSE;214354
25 de março de 2021;1° DOSE;126064
24 de março de 2021;1° DOSE;90436
23 de março de 2021;1° DOSE;104926
22 de março de 2021;1° DOSE;139596
21 de março de 2021;1° DOSE;13932
20 de março de 2021;1° DOSE;91166
19 de março de 2021;1° DOSE;193819
18 de março de 2021;1° DOSE;78961
17 de março de 2021;1° DOSE;80012
16 de março de 2021;1° DOSE;82877
15 de março de 2021;1° DOSE;131561
14 de março de 2021;1° DOSE;9430
13 de março de 2021;1° DOSE;29733
12 de março de 2021;1° DOSE;55780
11 de março de 2021;1° DOSE;56600
10 de março de 2021;1° DOSE;60032
9 de março de 2021;1° DOSE;69503
8 de março de 2021;1° DOSE;74087
7 de março de 2021;1° DOSE;12001
6 de março de 2021;1° DOSE;49155
5 de março de 2021;1° DOSE;79532
4 de março de 2021;1° DOSE;106772
3 de março de 2021;1° DOSE;130994
2 de março de 2021;1° DOSE;99118
1 de março de 2021;1° DOSE;112862
28 de fevereiro de 2021;1° DOSE;14170
27 de fevereiro de 2021;1° DOSE;49786
26 de fevereiro de 2021;1° DOSE;22717
25 de fevereiro de 2021;1° DOSE;24711
24 de fevereiro de 2021;1° DOSE;27156
23 de fevereiro de 2021;1° DOSE;34424
22 de fevereiro de 2021;1° DOSE;37781
21 de fevereiro de 2021;1° DOSE;6028
20 de fevereiro de 2021;1° DOSE;16311
19 de fevereiro de 2021;1° DOSE;43153
18 de fevereiro de 2021;1° DOSE;50267
17 de fevereiro de 2021;1° DOSE;52034
16 de fevereiro de 2021;1° DOSE;53884
15 de fevereiro de 2021;1° DOSE;68627
14 de fevereiro de 2021;1° DOSE;7257
13 de fevereiro de 2021;1° DOSE;30371
12 de fevereiro de 2021;1° DOSE;107791
11 de fevereiro de 2021;1° DOSE;94803
10 de fevereiro de 2021;1° DOSE;81889
9 de fevereiro de 2021;1° DOSE;111255
8 de fevereiro de 2021;1° DOSE;102549
7 de fevereiro de 2021;1° DOSE;14281
6 de fevereiro de 2021;1° DOSE;44151
5 de fevereiro de 2021;1° DOSE;90997
4 de fevereiro de 2021;1° DOSE;80365
3 de fevereiro de 2021;1° DOSE;70679
2 de fevereiro de 2021;1° DOSE;58866
1 de fevereiro de 2021;1° DOSE;56204
31 de janeiro de 2021;1° DOSE;6010
30 de janeiro de 2021;1° DOSE;22011
29 de janeiro de 2021;1° DOSE;55739
28 de janeiro de 2021;1° DOSE;70958
27 de janeiro de 2021;1° DOSE;38236
26 de janeiro de 2021;1° DOSE;44188
25 de janeiro de 2021;1° DOSE;21338
24 de janeiro de 2021;1° DOSE;6384
23 de janeiro de 2021;1° DOSE;16872
22 de janeiro de 2021;1° DOSE;51676
21 de janeiro de 2021;1° DOSE;32113
20 de janeiro de 2021;1° DOSE;14183
19 de janeiro de 2021;1° DOSE;7451
18 de janeiro de 2021;1° DOSE;877
