Dia de Data Registro Vacina;Dose;Contagem de Dose
19 de abril de 2021;1° DOSE;11694
18 de abril de 2021;1° DOSE;14394
17 de abril de 2021;1° DOSE;35263
16 de abril de 2021;1° DOSE;65442
15 de abril de 2021;1° DOSE;87600
14 de abril de 2021;1° DOSE;119663
13 de abril de 2021;1° DOSE;130025
12 de abril de 2021;1° DOSE;140087
11 de abril de 2021;1° DOSE;11602
10 de abril de 2021;1° DOSE;63758
9 de abril de 2021;1° DOSE;42441
8 de abril de 2021;1° DOSE;56307
7 de abril de 2021;1° DOSE;88707
6 de abril de 2021;1° DOSE;116191
5 de abril de 2021;1° DOSE;111099
4 de abril de 2021;1° DOSE;5698
3 de abril de 2021;1° DOSE;42132
2 de abril de 2021;1° DOSE;49417
1 de abril de 2021;1° DOSE;91298
31 de março de 2021;1° DOSE;84319
30 de março de 2021;1° DOSE;113241
29 de março de 2021;1° DOSE;160355
28 de março de 2021;1° DOSE;16870
27 de março de 2021;1° DOSE;103023
26 de março de 2021;1° DOSE;214388
25 de março de 2021;1° DOSE;126075
24 de março de 2021;1° DOSE;90437
23 de março de 2021;1° DOSE;104933
22 de março de 2021;1° DOSE;139603
21 de março de 2021;1° DOSE;13931
20 de março de 2021;1° DOSE;91167
19 de março de 2021;1° DOSE;193827
18 de março de 2021;1° DOSE;78962
17 de março de 2021;1° DOSE;80012
16 de março de 2021;1° DOSE;82876
15 de março de 2021;1° DOSE;131564
14 de março de 2021;1° DOSE;9430
13 de março de 2021;1° DOSE;29733
12 de março de 2021;1° DOSE;55780
11 de março de 2021;1° DOSE;56600
10 de março de 2021;1° DOSE;60032
9 de março de 2021;1° DOSE;69501
8 de março de 2021;1° DOSE;74088
7 de março de 2021;1° DOSE;12001
6 de março de 2021;1° DOSE;49155
5 de março de 2021;1° DOSE;79531
4 de março de 2021;1° DOSE;106775
3 de março de 2021;1° DOSE;130993
2 de março de 2021;1° DOSE;99118
1 de março de 2021;1° DOSE;112862
28 de fevereiro de 2021;1° DOSE;14170
27 de fevereiro de 2021;1° DOSE;49786
26 de fevereiro de 2021;1° DOSE;22716
25 de fevereiro de 2021;1° DOSE;24711
24 de fevereiro de 2021;1° DOSE;27157
23 de fevereiro de 2021;1° DOSE;34419
22 de fevereiro de 2021;1° DOSE;37781
21 de fevereiro de 2021;1° DOSE;6028
20 de fevereiro de 2021;1° DOSE;16311
19 de fevereiro de 2021;1° DOSE;43151
18 de fevereiro de 2021;1° DOSE;50265
17 de fevereiro de 2021;1° DOSE;52032
16 de fevereiro de 2021;1° DOSE;53884
15 de fevereiro de 2021;1° DOSE;68626
14 de fevereiro de 2021;1° DOSE;7257
13 de fevereiro de 2021;1° DOSE;30370
12 de fevereiro de 2021;1° DOSE;107791
11 de fevereiro de 2021;1° DOSE;94801
10 de fevereiro de 2021;1° DOSE;81886
9 de fevereiro de 2021;1° DOSE;111775
8 de fevereiro de 2021;1° DOSE;102601
7 de fevereiro de 2021;1° DOSE;14287
6 de fevereiro de 2021;1° DOSE;44162
5 de fevereiro de 2021;1° DOSE;91002
4 de fevereiro de 2021;1° DOSE;80371
3 de fevereiro de 2021;1° DOSE;70679
2 de fevereiro de 2021;1° DOSE;58868
1 de fevereiro de 2021;1° DOSE;56204
31 de janeiro de 2021;1° DOSE;6006
30 de janeiro de 2021;1° DOSE;22010
29 de janeiro de 2021;1° DOSE;55741
28 de janeiro de 2021;1° DOSE;70959
27 de janeiro de 2021;1° DOSE;38236
26 de janeiro de 2021;1° DOSE;44188
25 de janeiro de 2021;1° DOSE;21338
24 de janeiro de 2021;1° DOSE;6384
23 de janeiro de 2021;1° DOSE;16876
22 de janeiro de 2021;1° DOSE;51676
21 de janeiro de 2021;1° DOSE;32113
20 de janeiro de 2021;1° DOSE;14183
19 de janeiro de 2021;1° DOSE;7451
18 de janeiro de 2021;1° DOSE;877
17 de janeiro de 2021;1° DOSE;100
19 de abril de 2021;2° DOSE;29997
18 de abril de 2021;2° DOSE;17475
17 de abril de 2021;2° DOSE;82481
16 de abril de 2021;2° DOSE;234117
15 de abril de 2021;2° DOSE;123897
14 de abril de 2021;2° DOSE;83103
13 de abril de 2021;2° DOSE;91647
12 de abril de 2021;2° DOSE;127853
11 de abril de 2021;2° DOSE;12568
10 de abril de 2021;2° DOSE;55347
9 de abril de 2021;2° DOSE;165731
8 de abril de 2021;2° DOSE;66802
7 de abril de 2021;2° DOSE;75847
6 de abril de 2021;2° DOSE;99805
5 de abril de 2021;2° DOSE;109755
4 de abril de 2021;2° DOSE;4474
3 de abril de 2021;2° DOSE;15207
2 de abril de 2021;2° DOSE;7247
1 de abril de 2021;2° DOSE;43264
31 de março de 2021;2° DOSE;58933
30 de março de 2021;2° DOSE;50707
29 de março de 2021;2° DOSE;45847
28 de março de 2021;2° DOSE;5668
27 de março de 2021;2° DOSE;13951
26 de março de 2021;2° DOSE;31901
25 de março de 2021;2° DOSE;40141
24 de março de 2021;2° DOSE;53729
23 de março de 2021;2° DOSE;21409
22 de março de 2021;2° DOSE;19067
21 de março de 2021;2° DOSE;2489
20 de março de 2021;2° DOSE;6435
19 de março de 2021;2° DOSE;18377
18 de março de 2021;2° DOSE;25471
17 de março de 2021;2° DOSE;32340
16 de março de 2021;2° DOSE;25596
